"","HVA_1_miR","HVA_2_miR","HVA_3_miR","HVA_4_miR","HVA_5_miR","HVA_6_miR","HVAK_1_miR","HVAK_2_miR","HVAK_3_miR","HVAK_4_miR","HVAK_5_miR","HVAK_6_miR"
"mmu-miR-378d",1.11293897170375,1.55467563930601,1.18879000973238,0.787199675477157,0,0,0,1.19262020703839,0,0.725678416079623,0,0
"mmu-miR-379-3p",11.1293897170375,1.55467563930601,8.32153006812666,3.93599837738578,6.09038865668041,5.89331659079537,1.14580653083157,2.38524041407678,11.8574623565895,5.80542732863698,3.55843529821616,1.48522360585612
"mmu-miR-379-5p",53.4210706417801,38.8668909826503,63.0058705158162,33.0623863700406,58.619990820549,31.1503876942041,34.3741959249472,31.0081253829982,35.5723870697686,54.4258812059717,71.1687059643233,20.0505186790577
"mmu-miR-381-3p",25.5975963491863,29.5388371468142,34.474910282239,33.0623863700406,68.5168723876546,40.411313765454,34.3741959249472,17.8893031055759,40.0189354534897,37.7352776361404,32.7376047435887,16.3374596644174
"mmu-miR-382-3p",3.33881691511126,1.55467563930601,2.37758001946476,1.57439935095431,3.04519432834021,0,3.43741959249472,1.19262020703839,2.96436558914738,0.725678416079623,2.1350611789297,0
"mmu-miR-382-5p",12.2423286887413,9.32805383583606,21.3982201751828,11.0207954566802,35.7810333579974,12.6285355517044,8.02064571582102,7.15572124223035,4.44654838372108,5.80542732863698,14.2337411928647,11.1391770439209
"mmu-miR-3968",2.22587794340751,1.55467563930601,2.37758001946476,0,0,0.841902370113624,0,0,0,0,0,0.742611802928062
"mmu-miR-409-3p",6.67763383022252,4.66402691791803,11.8879000973238,5.5103977283401,25.8841517908918,6.73521896090899,6.87483918498945,5.96310103519196,11.8574623565895,15.2392467376721,12.098680013935,1.48522360585612
"mmu-miR-409-5p",0,0,0,0,1.5225971641701,0,1.14580653083157,0,1.48218279457369,0,2.1350611789297,0
"mmu-miR-410-3p",46.7434368115576,52.8589717364044,74.89377061314,33.0623863700406,91.3558298502062,41.2532161355676,51.5612938874208,27.430264761883,44.4654838372108,48.6204538773347,57.6466518311019,24.506189496626
"mmu-miR-411-3p",5.56469485851877,6.21870255722404,17.8318501459857,1.57439935095431,6.85168723876547,4.20951185056812,8.02064571582102,3.57786062111518,8.89309676744215,2.90271366431849,5.69349647714586,0
"mmu-miR-411-5p",12.2423286887413,12.4374051144481,16.6430601362533,7.87199675477156,12.9420758954459,2.52570711034087,8.02064571582102,11.9262020703839,13.3396451511632,10.8851762411943,15.6571153121511,5.19828262049643
"mmu-miR-421-3p",38.9528640096314,73.0697550473825,73.7049806034076,70.8479707929441,111.149592984418,47.146532726363,49.2696808257577,59.6310103519196,74.1091397286846,74.0191984401215,71.8803930239665,87.6281927455113
"mmu-miR-423-3p",550.904790993358,615.65155316518,502.858174116797,491.212597497746,146.930626342415,311.503876942041,429.67744906184,586.769141862889,487.638139414745,456.451723714083,479.677078199539,483.440283706168
"mmu-miR-423-5p",192.538442104749,144.584834455459,127.200531041365,256.627094205553,255.796323580577,217.210811489315,206.245175549683,182.470891676874,173.415386965122,271.403727613779,257.63071559085,248.032342177973
