"","HVA1","HVA2","HVA3","HVA4","HVA5","HVA6","HVAK1","HVAK2","HVAK3","HVAK4","HVAK5","HVAK6"
"peak8630",8.80730544057418,58.7194803146656,48.0863002493834,7.90044651298431,4.529867592136,0,35.7003591477759,42.1719872101475,25.4632067038289,9.4026230318221,6.18843544450679,7.80564606703608
"peak8649",22.0182636014354,56.8253035303215,49.2045863016946,88.3862453640119,0,4.82023446330812,124.468819731435,64.2949968941593,16.2038588115275,62.3992255748194,87.6695021305129,68.1220020395876
"peak8652",9.29660018727274,5.68253035303215,5.59143026155621,37.5271209366755,0,9.64046892661625,3.37706100046529,4.83940836837758,9.25934789230143,36.7557082153046,41.2562362967119,34.0610010197938
"peak8663",0.978589493397131,0,2.23657210462248,10.8631139553534,0,0,2.41218642890378,1.38268810525074,9.25934789230143,29.0626530074501,14.4396827038492,26.9649591406701
"peak8680",5.87153696038278,15.1534142747524,19.0108628892911,16.7884488400917,4.529867592136,0,21.709677860134,25.5797299471386,13.8890218384521,13.6765425917412,32.4892860836606,17.0305005098969
"peak8683",17.1253161344498,5.68253035303215,12.3011465754237,27.1577848883836,0,0,12.5433694302996,8.29612863150442,34.7225545961303,27.3530851834825,63.4314633061946,43.995459650567
"peak8696",108.623433767082,106.073899923267,147.613758905084,524.392137299334,31.709073144952,98.8148064978165,429.851621630653,250.266547050383,199.075979684481,486.372045918798,451.240084495287,816.044816099227
"peak8708",8.80730544057418,24.6242981964727,23.4840070985361,30.1204523307527,9.05973518427201,24.1011723165406,24.6043015748185,21.4316656313864,16.2038588115275,63.2540094868032,41.2562362967119,61.7355643483763
"peak8722",111.559202247273,53.0369499616334,83.8714539233432,320.955639589988,81.537616658448,359.107467516455,111.925450301135,96.0968233149262,446.763535803544,792.384686409008,379.55737392975,613.807622544201
"peak8802",9.78589493397131,18.9417678434405,21.2474349939136,13.8257813977225,0,0,47.278854006514,40.0979550522714,9.25934789230143,4.27391955991914,29.9107713151162,13.482479570335
"peak8873",10.7644844273684,3.7883535686881,5.59143026155621,13.8257813977225,0,4.82023446330812,13.5082440018611,8.98747268412979,20.8335327576782,11.9669747677736,26.3008506391539,19.8689172615464
"peak8875",7.82871594717705,3.7883535686881,13.4194326277349,26.664006981322,9.05973518427201,12.0505861582703,17.3677422881072,12.4441929472566,6.94451091922607,53.8513864549811,33.0049890373695,39.7378345230928
"peak8895",3.91435797358852,3.7883535686881,0,6.91289069886127,0,0,7.71899657249208,2.76537621050147,11.5741848653768,20.5148138876119,20.1124151946471,15.6112921340722
"peak8905",39.1435797358852,89.0263088641704,102.882316812634,72.5853523380433,9.05973518427201,9.64046892661625,137.494626447515,104.392951946431,32.407717623055,22.2243817115795,44.8661569726742,26.9649591406701
"peak8913",26.9112110684211,35.989358902537,40.2582978832047,67.6475732674281,0,72.3035169496219,68.0236572950865,40.0979550522714,60.1857612999593,76.0757681665606,120.674491167882,65.9931894758505
"peak8933",7.82871594717705,5.68253035303215,5.59143026155621,12.344447676538,0,2.41011723165406,12.0609321445189,6.91344052625369,4.62967394615071,21.3695977995957,24.2380388243183,17.7401046978093
"peak8946",5.87153696038278,5.68253035303215,7.82800236617869,22.7137837248299,9.05973518427201,24.1011723165406,4.82437285780755,6.22209647362832,16.2038588115275,24.788733447531,30.9421772225339,27.6745633285825
"peak8952",2.44647373349283,1.89417678434405,1.11828605231124,2.96266744236912,4.529867592136,14.4607033899244,0,0,11.5741848653768,33.3365725673693,6.18843544450679,24.836146576933
"peak8996",22.507558348134,73.872894589418,92.8177423418331,27.6515627954451,9.05973518427201,7.23035169496218,237.841581889912,167.996604787965,62.5005982730346,44.448763423159,74.2612253340815,69.5412104154124
"peak9002",44.5258219495694,45.4602428242572,41.376583935516,41.4773441931676,4.529867592136,9.64046892661625,56.9275997221291,71.8997814730383,48.6115764345825,60.6896577508518,83.5438785008417,41.8666470868299
