geneSymbol,half_life
1700123D08Rik,0.743
1700123I01Rik,9.694
1700123J19Rik,20.208
1700123K08Rik,9.192
1700123L14Rik,5.153
1700123M08Rik,5.123
1700123O20Rik,3.974
1700124P09Rik,6.903
1700125D06Rik,6.91
1700125F08Rik,8.675
1700125G22Rik,12.096
1700125H20Rik,14.174
1700126G02Rik,5.299
1700127D06Rik,24
1700129I15Rik,18.337
1810005K13Rik,5.676
1810006K21Rik,11.708
1810007D17Rik,15.2
1810007E14Rik,9.217
1810007I06Rik,24
1810007M14Rik,7.227
1810007P19Rik,3.527
1810008A14Rik,4.343
1810008A18Rik,4.231
1810008I18Rik,5.776
1810009A15Rik,6.716
1810009J06Rik,7.779
1810009N02Rik,24
1810010H24Rik,18.337
1810010M01Rik,24
1810011H11Rik,9.241
1810011O10Rik,1.081
1810011O16Rik,5.331
1810012K16Rik,6.447
1810013C15Rik,10.582
1810013D10Rik,6.459
1810013L24Rik,2.199
1810014B01Rik,4.786
1810015A11Rik,6.835
1810015C04Rik,8.004
1810015F01Rik,6.406
1810019D21Rik,6.582
1810019J16Rik,3.976
1810019N24Rik,7.258
1810020D17Rik,12.489
1810020G14Rik,10.345
1810021B22Rik,9.973
1810021J13Rik,8.145
1810022C23Rik,11.09
1810022K09Rik,20.568
1810023F06Rik,4.409
1810024B03Rik,4.922
1810026J23Rik,4.19
1810027O10Rik,13.511
1810029B16Rik,6.716
1810030J14Rik,4.236
1810030N24Rik,8.164
1810030O07Rik,8.621
1810031K17Rik,6.795
1810032O08Rik,0.795
1810033B17Rik,4.208
1810033M07Rik,10.208
1810034E14Rik,12.075
1810034K20Rik,6.194
1810035I16Rik,24
1810035L17Rik,8.852
1810036H07Rik,7.235
1810037C20Rik,19.525
1810037I17Rik,8.897
1810041H14Rik,7.542
1810042K04Rik,2.427
1810043G02Rik,13.433
1810043H04Rik,8.642
1810044A24Rik,18.938
1810044D09Rik,12.511
1810046J19Rik,15.003
1810047C23Rik,7.051
1810048J11Rik,3.47
1810049H13Rik,3.773
1810049H19Rik,10.268
1810049I09Rik,11.552
1810054D07Rik,7.131
1810054G18Rik,4.587
1810055E12Rik,23.259
1810055G02Rik,3.213
1810058I24Rik,17.157
1810058N05Rik,14.779
1810059C17Rik,7.77
1810059G22Rik,7.197
1810059H22Rik,6.697
1810062G17Rik,5.996
1810062O18Rik,10.47
1810063B07Rik,2.663
1810063I02Rik,24
1810064F22Rik,9.68
1810065E05Rik,12.956
1810073G14Rik,10.915
1810073N04Rik,12.812
1810074P20Rik,7.788
2010001A14Rik,9.959
2010001H14Rik,10.089
2010001J22Rik,8.422
2010001K21Rik,24
2010001M09Rik,12.033
2010002M12Rik,6.261
2010002N04Rik,2.601
2010003J03Rik,7.037
2010003K11Rik,17.957
2010003O02Rik,10.253
2010003O18Rik,10.729
2010004A03Rik,13.304
2010005H15Rik,24
2010005J08Rik,2.055
2010007H06Rik,6.69
2010007H12Rik,6.418
2010007L08Rik,5.1
2010008E23Rik,5.829
2010010A06Rik,10.193
2010010I01Rik,6.166
2010011I20Rik,5.567
2010012C16Rik,5.161
2010012O05Rik,6.684
2010012P19Rik,4.926
2010013B24Rik,1.964
2010015L04Rik,24
2010016I18Rik,4.381
2010100O12Rik,8.785
2010106C02Rik,0.969
2010106G01Rik,11.93
2010107E04Rik,9.303
2010107G23Rik,7.885
2010107H07Rik,8.807
2010109A12Rik,9.776
2010109I03Rik,11.252
2010109K11Rik,2.606
2010109N14Rik,6.441
2010110K16Rik,9.508
2010110K18Rik,6.89
2010110P09Rik,11.108
2010111I01Rik,2.778
2010200O16Rik,15.861
2010203O07Rik,7.779
2010204K13Rik,9.547
2010204N08Rik,6.15
2010205J10Rik,6.085
2010208K18Rik,10.392
2010209O12Rik,3.85
2010300C02Rik,9.12
2010301N04Rik,3.518
2010305A19Rik,3.726
2010305B15Rik,4.853
2010305C02Rik,7.109
2010308F09Rik,3.898
2010309E21Rik,8.125
2010309G21Rik,13.78
2010310D06Rik,15.437
2010311D03Rik,4.252
